title;km;price;features;car_location;car_city;url;image_link
Nissan Sentra 2017 #188844 ; 59700 KM ; Precio: $262999;{' Tracción': '4x2', 'Transmisión': 'Automática', 'Stock ID': '188844 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/nissan-sentra-advance-2017-compra-de-autos-188844;https://images.kavak.services/images/188844/EXTERIOR-frontSidePilotNear-1654981510116.jpeg?d=540x310
Bmw Serie 6 2016 #188754 ; 52000 KM ; Precio: $732999;{' Tracción': '4x2', 'Transmisión': 'Automática', 'Stock ID': '188754 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/bmw-serie-6-650i-gran-coupe-2016-compra-de-autos-188754;https://images.kavak.services/images/188754/EXTERIOR-frontSidePilotNear-1653418123729.jpeg?d=540x310
Mercedes Benz Clase Cla 2017 #188634 ; 65400 KM ; Precio: $413999;{' Tracción': '4x2', 'Transmisión': 'Automática', 'Stock ID': '188634 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/mercedes-benz-clase-cla-cla200-cgi-sport-2017-compra-de-autos-188634;https://images.kavak.services/images/188634/EXTERIOR-frontSidePilotNear-1653581129592.jpeg?d=540x310
Kia Sorento 2016 #188365 ; 108450 KM ; Precio: $325999;{' Tracción': '4x2', 'Transmisión': 'Automática', 'Stock ID': '188365 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/kia-sorento-lx-2016-compra-de-autos-188365;https://images.kavak.services/images/188365/EXTERIOR-frontSidePilotNear-1653676925186.jpeg?d=540x310
Suzuki Swift 2019 #188176 ; 20000 KM ; Precio: $294999;{' Transmisión': 'Manual', 'Tracción': '4x2', 'Stock ID': '188176 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/suzuki-swift-hatch-back-boosterjet-2019-compra-de-autos-188176;https://images.kavak.services/images/188176/EXTERIOR-frontSidePilotNear-1653405661354.jpeg?d=540x310
Kia Forte 2017 #188158 ; 39300 KM ; Precio: $215999;{' Transmisión': 'Manual', 'Tracción': '4x2', 'Stock ID': '188158 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/kia-forte-lx-2017-compra-de-autos-188158;https://images.kavak.services/images/188158/EXTERIOR-frontSidePilotNear-1653318790083.jpeg?d=540x310
Toyota Camry 2014 #188146 ; 94800 KM ; Precio: $236999;{' Tracción': '4x2', 'Transmisión': 'Automática', 'Stock ID': '188146 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/toyota-camry-xle-2014-compra-de-autos-188146;https://images.kavak.services/images/188146/EXTERIOR-frontSidePilotNear-1654880411803.jpeg?d=540x310
Jeep Wrangler 2015 #188124 ; 85300 KM ; Precio: $501999;{' Tracción': '4x4', 'Transmisión': 'Manual', 'Stock ID': '188124 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/jeep-wrangler-sport-2015-compra-de-autos-188124;https://images.kavak.services/images/188124/EXTERIOR-frontSidePilotNear-1653946868104.jpeg?d=540x310
Kia Forte 2018 #188015 ; 57600 KM ; Precio: $227999;{' Transmisión': 'Manual', 'Tracción': '4x2', 'Stock ID': '188015 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/kia-forte-l-2018-compra-de-autos-188015;https://images.kavak.services/images/188015/EXTERIOR-frontSidePilotNear-1653662840776.jpeg?d=540x310
Mini Cooper 2019 #187974 ; 27500 KM ; Precio: $471999;{' Tracción': '4x2', 'Transmisión': 'Automática', 'Stock ID': '187974 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/mini-cooper-chili-2019-compra-de-autos-187974;https://images.kavak.services/images/187974/EXTERIOR-frontSidePilotNear-1652993720368.jpeg?d=540x310
Dodge Journey 2017 #187912 ; 57000 KM ; Precio: $272999;{' Tracción': '4x2', 'Transmisión': 'Automática', 'Stock ID': '187912 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/dodge-journey-se-2017-compra-de-autos-187912;https://images.kavak.services/images/187912/EXTERIOR-frontSidePilotNear-1653425886976.jpeg?d=540x310
Jeep Wrangler 2012 #187902 ; 130000 KM ; Precio: $484999;{' Transmisión': 'Automática', 'Tracción': '4x4', 'Stock ID': '187902 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/jeep-wrangler-sahara-2012-compra-de-autos-187902;https://images.kavak.services/images/187902/EXTERIOR-frontSidePilotNear-1653405870726.jpeg?d=540x310
Mazda CX-9 2016 #187879 ; 106500 KM ; Precio: $425999;{' Transmisión': 'Automática', 'Tracción': '4x4', 'Stock ID': '187879 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/mazda-cx-9-i-grand-touring-2016-compra-de-autos-187879;https://images.kavak.services/images/187879/EXTERIOR-frontSidePilotNear-1654282625720.jpeg?d=540x310
Nissan Versa 2020 #187875 ; 46800 KM ; Precio: $296999;{' Transmisión': 'Manual', 'Tracción': '4x2', 'Stock ID': '187875 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/nissan-versa-advance-2020-compra-de-autos-187875;https://images.kavak.services/images/187875/EXTERIOR-frontSidePilotNear-1653146871642.jpeg?d=540x310
